playerid,baseprice,category,finalprice,playername,point,teamname,playerphoto,stats,nationality
A01,200,BATSMAN,1100,"RUTURAJ GAIKWAD",9,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/102.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/1A.jpg,INDIAN
A02,100,BATSMAN,1050,"AJINKYA RAHANE",9,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/44.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/2A.jpg,INDIAN
A03,100,BATSMAN,800,"SAMEER RIZVI",8,DC,https://im.rediff.com/cricket/2023/dec/19sameer1.jpg?w=670&h=900,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/3A.png,INDIAN
A04,100,BATSMAN,100,"PRITHIVI SHAW",8,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/51.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/4A.jpg,INDIAN
A05,100,BATSMAN,100,"YASH DULL",7,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/777.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/5A.png,INDIAN
A06,200,BATSMAN,800,"SHUBMAN GILL",10,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/6A.jpg,INDIAN
A07,100,BATSMAN,800,"SAI SUDHARSON",8,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/7A.jpg,INDIAN
A08,100,BATSMAN,550,"NITHISH RANA",8,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/148.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/8A.jpg,INDIAN
A09,100,BATSMAN,650,"RINKU SINGH",9,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/152.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/9A.jpg,INDIAN
A10,200,BATSMAN,600,"SHREYAS IYER",9,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/12.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/10A.jpg,INDIAN
A11,100,BATSMAN,460,"MANISH PANDEY",8,MI,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323052.png",https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/11A.jpg,INDIAN
A12,100,BATSMAN,850,"DEVDUTT PADIKKAL",6,MI,https://im.indiatimes.in/content/2020/Oct/rcb-devdutt_5f9a885ef0100.jpg,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/12A.jpg,INDIAN
A13,100,BATSMAN,550,"AYUSH BADONI",6,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/985.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/13A.jpg,INDIAN
A14,100,BATSMAN,320,"DEEPAK HOODA",6,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/215.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/14A.jpg,INDIAN
A15,200,BATSMAN,2050,"ROHIT SHARMA",11,MI,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/6.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/15A.jpg,INDIAN
A16,200,BATSMAN,1750,"SURYAKUMAR YADAV",11,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/174.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/16A.jpg,INDIAN
A17,100,BATSMAN,700,"TILAK VARMA",8,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/993.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/17A.jpg,INDIAN
A18,100,BATSMAN,1700,"SHIKHAR DHAWAN",11,KKR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/11.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/18A.jpg,INDIAN
A19,100,BATSMAN,100,"PRABHASIMRAN SINGH",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/137.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/19A.jpg,INDIAN
A20,100,BATSMAN,360,"HARPREET SINGH BHATIA",7,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1934.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/20A.png,INDIAN
A21,100,BATSMAN,900,"YASHASVI JAISWAL",9,LSG,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/533.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/21A.jpg,INDIAN
A22,100,BATSMAN,420,"RIYAN PARAG",6,SRH,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/189.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/22A.jpg,INDIAN
A23,100,BATSMAN,360,"SHUBHAM DUBEY",8,LSG,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7xA3rPX5DFQE7p8PGS83yRJnf9lB0BoNCyV-c98_HtA&s,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/23A.png,INDIAN
A24,100,BATSMAN,600,"RAJAT PATIDAR",9,RR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/5471.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/24A.jpg,INDIAN
A25,200,BATSMAN,2450,"VIRAT KOHLI",12,PBKS,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/25A.jpg,INDIAN
A26,100,BATSMAN,100,"SUYASH PRABUDESAI",3,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/598.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/26A.jpg,INDIAN
A27,100,BATSMAN,100,"ABDUL SAMAD",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/525.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/27A.jpg,INDIAN
A28,100,BATSMAN,380,"RAHUL TRIPATI",7,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/188.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/28A.jpg,INDIAN
A29,100,BATSMAN,100,"MAYANK AGARWAL",8,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/55.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/29A.jpg,INDIAN
A30,100,BATSMAN,100,"ANMOLPREET SINGH",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/159.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/30A.jpg,INDIAN
A31,200,BATSMAN,1900,"DAVID WARNER",13,RR,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/31A.jpg,OVERSEAS
A32,100,BATSMAN,100,"HARRY BROOK",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1218.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/32A.jpg,OVERSEAS
A33,200,BATSMAN,200,"DAVID MILLER",9,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/33A.jpg,OVERSEAS
A34,200,BATSMAN,240,"KANE WILLIAMSON",8,MI,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/65.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/34A.jpg,OVERSEAS
A35,100,BATSMAN,100,"SHERFANE RUTHERFORD",3,NULL,https://parimatchnews.com/wp-content/uploads/2020/11/shefrany-rutherford.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/35A.jpg,OVERSEAS
A36,200,BATSMAN,200,"JASON ROY",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/313.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/36A.jpg,OVERSEAS
A37,100,BATSMAN,100,"DEWALD BREVIS",5,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/797.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/37A.jpg,OVERSEAS
A38,100,BATSMAN,100,"TIM DAVID",8,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/636.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/38A.jpg,OVERSEAS
A39,100,BATSMAN,100,"RILEE ROSSOUW",6,NULL,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1426.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/39A.jpg,OVERSEAS
A40,100,BATSMAN,100,"SHIMRON HETMYER",10,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/210.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/40A.jpg,OVERSEAS
A41,100,BATSMAN,100,"ROVMAN POWELL",6,NULL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfhFzmeR9W3XddqD17z9fewrxuErGkWbG3jN7FhihJmSqm8T90s5uvRfzc9EBm6eFwxss&usqp=CAU,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/41A.jpg,OVERSEAS
A42,200,BATSMAN,550,"FAF DU PLESSIS",10,RCB,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png,https://masterplacestats.s3.ap-south-1.amazonaws.com/Batsman/42A.jpg,OVERSEAS
